id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,complexity,width,length,depth,weight
314040,Pandemic Legacy: Season 0,2020,57,7.7409,8.34905,9114,0,,,,,,35,11,,3.1657,10.6299,14.5669,3.07087,5.82902
102794,Caverna: The Cave Farmers,2013,58,7.74012,7.92838,36695,0,,,,,,52,,,3.7753,8.9,12.4,2.2,7.93664
185343,Anachrony,2017,59,7.7368,8.04817,20836,0,,,,,,48,,,4,10.2362,13.7795,2.44094,5.59974
170216,Blood Rage,2015,60,7.73163,7.90619,50715,0,,,,,,60,,,2.882,12.2047,12.2047,4.13386,4.71789
31260,Agricola,2007,61,7.7301,7.8613,75718,0,,,,,,59,,,3.635,8.9,12.4,2.75591,4.62971
365717,Clank!: Catacombs,2022,62,7.7277,8.24641,11498,0,,,,8,,46,,,2.502,11.811,11.811,3.18898,3.70597
251661,Oathsworn: Into the Deepwood,2022,63,7.72013,8.79905,6381,0,,,,,,,9,,3.6898,12,16,7,20.3
161533,Lisboa,2017,64,7.71221,8.1736,12430,0,,,,,,44,,,4.5726,12.5197,15.5512,3.14961,9.54602
231733,Obsession,2018,65,7.70965,8.08489,16565,0,,,,,,51,21,,3.1056,11.6142,11.6142,3.62205,6.50364
182874,Grand Austria Hotel,2015,66,7.70919,7.96015,23962,0,,,,,,53,,,3.2013,8.85827,12.4016,2.75591,3.30693
414317,Harmonies,2024,67,7.70596,8.02553,22458,0,3,,,12,,,,,2.0169,8.38583,8.38583,2.6378,1.98416
255984,Sleeping Gods,2021,68,7.70503,8.11888,15028,0,,,,,,,20,,3.2613,11.7323,12.126,4.33071,8.2982
221107,Pandemic Legacy: Season 2,2017,69,7.69861,8.01818,17962,0,,,,,,54,19,,3.2456,10.6299,14.5669,3,4.99347
390092,Ticket to Ride Legacy: Legends of the West,2023,70,7.69543,8.65572,5646,0,,,,4,,,,,2.5812,12.5984,17.126,4.2126,9.25941
205059,Mansions of Madness: Second Edition,2016,71,7.68666,7.92223,39348,0,,,,,,,26,,2.7004,11.9291,11.9291,5.43307,5.48951
126163,Tzolk'in: The Mayan Calendar,2012,72,7.68546,7.84815,41676,0,,,,,,66,,,3.6633,11.7,11.7,2.8,3.30693
2651,Power Grid,2004,73,7.68511,7.80039,68452,0,,,,,,72,,,3.2488,10.6,14.7,2.2,3
216132,Clans of Caledonia,2017,74,7.67309,7.93994,21941,0,,,,,,58,,,3.4685,8.82,12.24,2.09,3.73
244521,Quacks,2018,75,7.66972,7.80671,56643,0,,,,14,,,,,1.9407,11.7,11.7,2.8,3.08647
371942,The White Castle,2023,76,7.66516,7.99193,19192,0,,,,,,67,,,3.0517,7.08661,9.05512,2.59843,2.94538
266810,Paladins of the West Kingdom,2019,77,7.66388,7.96063,19866,0,,,,,,61,,,3.713,9.05512,9.05512,2.6378,4.15571
35677,Le Havre,2008,78,7.66181,7.83601,33335,0,,,,,,68,,,3.7092,8.88,12.45,2.83,2.20462
125153,The Gallerist,2015,79,7.65944,8.0068,16014,0,,,,,,56,,,4.2162,12.5,15.5,3.5,7.875
164153,Star Wars: Imperial Assault,2014,80,7.6558,7.95677,25626,0,,,,,,,27,,3.3016,11.625,11.625,5.25,5.66
240980,Blood on the Clocktower,2022,81,7.65474,8.36179,9652,0,,,,,1,64,,,3.05,11.811,14.3701,3.34646,9.03895
124742,Android: Netrunner,2012,82,7.65431,7.89083,31054,0,,6,,,,,,,3.413,11.7,11.7,2.8,2.4
276025,Maracaibo,2019,83,7.65146,7.96196,18185,0,,,,,,65,,,3.9142,11.6929,11.6929,2.83465,4.27256
200680,Agricola (Revised Edition),2016,84,7.64728,7.95508,20433,0,,,,,,71,,,3.4441,8.93701,12.4803,2.87402,1.98416
380607,Great Western Trail: New Zealand,2023,85,7.63828,8.48895,6092,0,,,,,,43,,,3.9933,11.7,11.7,2.8,6.64914
209010,Mechs vs. Minions,2016,86,7.63416,7.9568,18131,0,,,,,,73,24,,2.457,13.5827,20.2756,4.84252,12.8309
284083,The Crew: The Quest for Planet Nine,2019,87,7.62743,7.7666,46855,0,,,,15,,,,,1.9625,7.08661,5.07874,1.5748,0.661387
55690,Kingdom Death: Monster,2015,88,7.62455,8.47645,10221,0,,,,,,,18,,4.2719,12.5,24,4.5,17
332772,Revive,2022,89,7.6195,8.08562,11570,0,,,,,,63,,,3.4596,11.7,11.7,2.8,6.25231
28143,Race for the Galaxy,2007,90,7.61916,7.73864,58080,0,,,,,,78,,,2.9919,7.5,10.75,2.625,1.4375
322289,Darwin's Journey,2023,91,7.61771,8.10922,11003,0,,,,,,62,,,3.9022,11.81,11.81,2.04724,4.11383
230802,Azul,2017,92,7.61197,7.72212,103440,0,2,,,17,,,,,1.7734,10.2362,10.2362,2.75591,2.65
157354,Five Tribes: The Djinns of Naqala,2014,93,7.61102,7.76497,44303,0,,,,,,84,,,2.8386,11.6929,11.6929,2.83465,3.74786
366161,Wingspan Asia,2022,94,7.60652,8.22573,9051,0,,,,13,,70,,,2.6585,8.46457,11.6142,1.65354,2.86601
201808,Clank!: A Deck-Building Adventure,2016,95,7.60164,7.76531,46159,0,,,,19,,93,,,2.2314,12.2047,12.2047,3.22835,3.17907
159675,Fields of Arle,2014,96,7.59752,8.0266,12068,0,,,,,,69,,,3.8428,8.9,12.4,3.6,4.91631
337627,Voidfall,2023,97,7.59626,8.52798,6035,0,,,,,,50,,,4.591,12.9921,15.748,3.34646,9.9208
72125,Eclipse: New Dawn for the Galaxy,2011,98,7.59476,7.82077,28890,0,,,,,,86,,,3.706,15.74,11.02,3.54,6.61
277659,Final Girl,2021,99,7.58887,8.25069,9862,0,,,,,,,22,,2.7409,6.29921,8.66142,1.5748,1.11113
93,El Grande,1995,100,7.58868,7.76656,31996,0,,,,,,80,,,2.9373,11.6142,11.6142,2.67717,2.86601
191189,Aeon's End,2016,101,7.58755,7.87146,23261,0,,,,,,90,,,2.8049,11.0236,11.0236,3.58268,3.44362
291453,SCOUT,2019,102,7.58571,7.80615,25129,0,,,,16,,,,,1.3774,2.59843,4.37008,1.45669,0.451948
110327,Lords of Waterdeep,2012,103,7.58487,7.73063,58356,0,,,,,,100,,,2.4493,11.0236,13.9764,2.95276,3.70377
256916,Concordia Venus,2018,104,7.57722,8.25909,7195,0,,,,,,57,,,2.9953,11.1,15.63,2.76,5.95248
359871,Arcs,2024,105,7.57252,8.04667,13813,0,,,,,,82,,,3.4224,11.4173,8.85827,2.75591,3.92423
229853,Teotihuacan: City of Gods,2018,106,7.57235,7.84111,21596,0,,,,,,81,,,3.7778,11.7,11.7,2.8,4.62971
317985,Beyond the Sun,2020,107,7.5667,7.87289,16888,0,,,,,,75,,,3.1477,10.7,14.6,2.2,5.54683
62219,Dominant Species,2010,108,7.55938,7.80447,22130,0,,,,,,87,,,4.0414,9.2,12.2,3,4.5
25613,Through the Ages: A Story of Civilization,2006,109,7.55781,7.82149,19772,0,,,,,,83,,,4.1775,8.75,12.25,2.25,2.6
279537,The Search for Planet X,2020,110,7.5549,7.9081,14846,0,,,,,,88,,,2.4371,10.4331,10.4331,2.16535,3.35764
